Path,Symbol,Kind,Action,Reason,Confidence
Users/UserModel.cs,Username property vs UserName column,Property,RENAME_COLUMN,Column name should match property name for consistency,High
MedicalCase/MedicalCaseModel.cs,MedicalCaseStatus.Registered default,Property,UPDATE_DEFAULT,Change to MedicalCaseStatus.Active for Record-Only mode,High
Compatibility/HerbCompatibilityNote.cs,Entire entity class,Class,DELETE,Unused compatibility checking entity after service removal,High
Attributes/SensitiveDataAttribute.cs,Epic 05-P0-03 reference,Comment,UPDATE_COMMENT,Remove obsolete Epic reference from documentation,Medium
Attributes/SensitiveDataAttribute.cs,Unused attribute definition,Attribute,REVIEW_USAGE,Either apply to entities or remove if unused,Medium
Users/UserModel.cs,Missing Username index,Index,ADD_INDEX,Add database index for login query performance,Medium  
Patients/PatientModel.cs,Missing Name index,Index,ADD_INDEX,Add database index for patient search performance,Medium
Users/UserModel.cs,Missing PinYinCode index,Index,ADD_INDEX,Add database index for pinyin search performance,Medium
MedicalCase/MedicalCaseModel.cs,Missing PatientId index,Index,ADD_INDEX,Add database index for patient medical cases query,Medium
Multiple entities,Hardcoded default values,Property,EXTRACT_CONSTANTS,Create EntityDefaults class for centralized defaults,Medium
Multiple entities,Mixed CreatedTime/CreateTime,Property,STANDARDIZE_NAMING,Unify to CreatedTime across all entities,Low
Multiple entities,Mixed comment languages,Comment,STANDARDIZE_STYLE,Consistent Chinese + English technical terms,Low
