Path,Symbol,Kind,Action,Reason,Confidence
Services/JwtAuthenticationService.cs,Empty catch blocks at lines 76 and 130,Exception Handling,ADD_EXCEPTION_LOGGING,Add security audit logging for JWT validation failures,High
Services/AuthQueryService.cs,sysadmin user validation logic,Method,FIX_VALIDATION_LOGIC,Correct userId vs username parameter validation,High
Repositories/AuthRepository.cs,User caching with sensitive data,Method,SECURE_CACHE_DATA,Remove sensitive fields from cached user objects,High
Services/AuthBusinessService.cs,ValidatePasswordAsync method duplication,Method,ELIMINATE_CODE_DUPLICATION,Remove duplicate implementation and use dependency injection,Medium
Services/AuthCore.cs,ValidatePasswordAsync method duplication,Method,ELIMINATE_CODE_DUPLICATION,Remove duplicate implementation and use dependency injection,Medium
Services/AuthQueryService.cs,Hardcoded token expiry time,Property,EXTERNALIZE_CONFIGURATION,Read token expiry from JWT configuration,Medium
Services/AuthCore.cs,Hardcoded token expiry time,Property,EXTERNALIZE_CONFIGURATION,Read token expiry from JWT configuration,Medium
Services/SysAdminHandler.cs,Code formatting issue at line 15,Formatting,FIX_CODE_FORMATTING,Separate constant definition and constructor declaration,Low
Services/AuthCore.cs,Entire service class,Class,ANALYZE_USAGE,Determine if AuthCore service is redundant and can be removed,Low
Interfaces/IAuthSessionRepository.cs,Obsolete session methods,Interface,REMOVE_OBSOLETE_METHODS,Remove 14 obsolete session management methods,Low
Repositories/AuthSessionRepository.cs,Obsolete session methods,Method,REMOVE_OBSOLETE_METHODS,Remove 14 obsolete session management method implementations,Low
