Path,Symbol,Kind,Action,Reason
"src/Server/Core/LYBT.Infrastructure/Configuration/Options/SysAdminOptions.cs","DefaultPassword",Property,Remove,"标记为Obsolete(true)的属性应完全删除"
"src/Server/Core/LYBT.Infrastructure/Configuration/Options/SysAdminOptions.cs","[Obsolete(...)] [Required] [MinLength]",Attributes,Remove,"删除属性的同时删除相关特性"
"src/Server/Core/LYBT.Infrastructure/Configuration/Options/UserOptions.cs","DefaultUserPassword",Property,Remove,"标记为Obsolete(true)的属性应完全删除"
"src/Server/Core/LYBT.Infrastructure/Configuration/Options/UserOptions.cs","[Obsolete(...)]",Attribute,Remove,"删除属性的同时删除过时特性"
"src/Server/Core/LYBT.Infrastructure/Authorization/RoleConstants.cs","User",Constant,Review,"过时角色常量，需评估是否可以完全移除"
"src/Server/Core/LYBT.Infrastructure/Authorization/RoleConstants.cs","AllRoles",Array,Update,"从数组中移除过时的User角色"
"src/Server/Core/LYBT.Infrastructure/Authorization/RoleConstants.cs","[Obsolete(...)]",Attribute,Update,"如果保留User常量，加强过时警告"
"src/Server/Core/LYBT.Infrastructure/Migrations/20250908110242_AddTransactionCoordinatorTables.cs","AddTransactionCoordinatorTables",Migration,Review,"过时的迁移文件，评估是否可以安全删除"
"src/Server/Core/LYBT.Infrastructure/Repositories/OptimizedBaseRepository.cs","OptimizedBaseRepository",Class,Review,"检查是否与标准BaseRepository重复"
"src/Server/Core/LYBT.Infrastructure/Interfaces/IModule.cs","IModule",Interface,Review,"检查是否为遗留接口，可能与UltraThink架构冲突"
