Category,Subcategory,File,Location,Issue,Type,Severity,Status,Action_Required,Notes
Backend,Smart_Features,src/Shared/LYBT.Shared.Models/Contracts/Formula/FormulaDtos.cs,Lines 413-436,FormulaRecommendationDto in conditional compilation,Conditional Code,High,Active,"Delete #if ENABLE_SMART_FEATURES block","Class still exists under conditional compilation"
Backend,Smart_Features,src/Server/Services/LYBT.WebAPI/Controllers/FormulasController.cs,Lines 293-317,GetRecommendationsAsync method in conditional compilation,Conditional Code,High,Active,"Delete #if ENABLE_SMART_FEATURES block","API endpoint still exists under conditional compilation"
Backend,Smart_Features,src/Client/Desktop/Modules/Formula/Services/FormulaQueryService.cs,Lines 132+,Recommendation methods in conditional compilation,Conditional Code,High,Active,"Delete #if ENABLE_SMART_FEATURES block","Service methods still exist under conditional compilation"
Backend,Smart_Features,src/Client/Desktop/Modules/Formula/Services/FormulaModule.cs,Lines 269+,Recommendation method delegation in conditional compilation,Conditional Code,High,Active,"Delete #if ENABLE_SMART_FEATURES block","Module delegation still exists under conditional compilation"
Backend,Smart_Features,src/Client/Desktop/Modules/Formula/Interfaces/IFormulaQueryService.cs,Lines 50+,Recommendation interface methods in conditional compilation,Conditional Code,High,Active,"Delete #if ENABLE_SMART_FEATURES block","Interface methods still exist under conditional compilation"
Test,Smart_Features,tests/Backend/LYBT.Module.Formula.Tests/FormulaServiceTests.cs,Lines 581-588,GetRecommendationsAsync_WithSymptoms_ReturnsEmptyList test method,Active Test,High,Active,Delete test method,"Test calls deleted functionality"
Architecture,Rules,tests/Architecture/ArchTests.cs,Line 307,Intelligence features test failure,Test Failure,High,Active,Fix excluding rules for obsolete DTOs,"ArchTest failing due to FormulaRecommendationDto"
Backend,Session_Management,src/Server/Modules/LYBT.Module.Auth/**,Multiple files,JWT session management system,Active Feature,None,Active,Keep - Core functionality,"Session management is essential security feature, not超范围"
Backend,Session_Management,src/Server/Services/LYBT.WebAPI/Controllers/AuthController.cs,Multiple methods,Login/logout session handling,Active Feature,None,Active,Keep - Core functionality,"Basic authentication flow, not complex session management"
Backend,Compatibility,src/Server/Modules/LYBT.Module.Herbs/Repositories/HerbRepository.cs,Lines with [Obsolete],Obsolete repository methods,Obsolete Code,Low,Marked,"Consider removal after review period","Methods marked with [Obsolete] and [EditorBrowsable(Never)]"
Backend,Compatibility,src/Server/Modules/LYBT.Module.Consultation/**,Multiple locations,Obsolete workflow validation methods,Obsolete Code,Low,Marked,"Consider removal after review period","Complex validation logic marked as obsolete"
Backend,Compatibility,Multiple modules,Various files,Obsolete compatibility checking features,Obsolete Code,Low,Marked,"Consider removal after review period","18 items marked as obsolete across modules"
Backend,Smart_Features,src/Server/Modules/LYBT.Module.Formula/**,Multiple locations,Obsolete recommendation remnants,Obsolete Code,Medium,Marked,"Consider removal after review period","12 items related to smart recommendations marked obsolete"
