Path,Symbol,Kind,Action,Reason,Confidence
LYBT.Module.Users,PinYinCode field usage,Property,REVIEW_USAGE,Evaluate if PinYinCode empty string assignment is necessary,Low
LYBT.Module.Patients,DeleteAsync method duplication,Method,RESOLVE_DUPLICATION,Fix duplicate method definitions with inconsistent interfaces,High
LYBT.Module.Patients,Excessive DTO adapters,Class,SIMPLIFY_ADAPTERS,Reduce complexity of DTO conversion logic,High
LYBT.Module.Patients,Mixed return types,Method,STANDARDIZE_RETURNS,Unify ServiceResult vs direct return types,Medium
LYBT.Module.Patients,Hardcoded CSV export,Method,EXTERNALIZE_CONFIGURATION,Make CSV format configurable,Medium
LYBT.Module.Prescriptions,CompatibilityNoteService role,Class,CLARIFY_RESPONSIBILITY,Confirm service responsibility and architectural position,Medium
LYBT.Module.Prescriptions,Collection expressions,Syntax,MODERNIZE_SYNTAX,Use C# 12 collection expressions instead of legacy syntax,Low
LYBT.Module.Consultation,Modern C# syntax,Syntax,MODERNIZE_SYNTAX,Apply C# 12 syntax improvements where applicable,Low
All Business Modules,ServiceResult consistency,Pattern,STANDARDIZE_PATTERN,Ensure consistent ServiceResult usage across all modules,Medium
All Business Modules,Exception handling,Pattern,UNIFY_HANDLING,Standardize exception handling patterns,Medium
